date,mse,std,corr,max_power,weather,cond
20180519,0.001444106,0.000414174,0.968830578,83,1,1
20180520,0.002121638,0.001244396,0.903009777,250.7142857,1,0
20180521,0.002051422,0.001410702,0.906103049,267.4285714,0,1
20180522,0.000359224,0.00022268,0.98778798,69.14285714,1,1
20180523,0.003205509,0.002385497,0.93,251.2857143,1,0
20180524,0.006893738,0.004021933,0.908792332,259.1428571,0,0
20180525,0.002215563,0.00176101,0.86610209,265.8571429,0,0
20180526,0.00143945,0.00056406,0.984186684,223,0,1
20180527,0.000970016,0.000440581,0.981242275,38,5,1
20180528,0.001786841,0.001483612,0.953678721,182,1,1
20180529,0.004523521,0.003130649,0.899553099,254.1428571,0,0
20180530,0.000723057,0.000469297,0.981743616,251.4285714,0,1
20180531,0.002524801,0.000488574,0.980992171,178.2857143,0,1
20180601,0.0044931,0.001486608,0.901223769,248.4285714,3,0
20180602,0.001855882,0.00079583,0.93643114,254.8571429,3,0
20180603,0.002375279,0.00140505,0.925482441,260.4285714,0,0
20180604,0.003594651,0.000429804,0.967349022,183.5714286,1,1
20180605,0.001191382,0.000218648,0.931118824,211.7142857,1,1
20180606,0.002876291,0.001134593,0.793051613,296.2857143,5,0
20180607,0.002370111,0.001899149,0.930651132,234.1428571,3,0
20180608,0.000926718,0.000359702,0.99113093,245.8571429,3,1
20180609,0.001372988,0.000772633,0.980345939,216.5714286,3,1
20180610,0.003379455,0.001181097,0.857543835,255,0,1
20180611,0.003062057,0.001339919,0.891028378,277.1428571,0,0
20180612,0.003173359,0.000868146,0.877883593,254.7142857,0,0
20180613,0.001624663,0.00019863,0.974209662,145.1428571,0,1
20180614,0.001013981,0.00033133,0.941227992,229.2857143,3,1
20180615,0.002525681,0.002066791,0.803812257,246.5714286,5,0
20180617,0.00198524,0.002043496,0.934217456,244.1428571,0,1
20180618,0.000958513,0.000186238,0.980582576,228.5714286,1,1
20180619,0.003458249,0.001311715,0.881841172,266.8571429,0,0
20180620,0.001250454,0.000403966,0.979720504,141.2857143,0,1
20180621,0.004986058,0.002052847,0.903334686,258.1428571,0,0
20180622,0.001305088,0.000396291,0.978782852,263.2857143,0,1
20180623,0.002240498,0.001390064,0.947354391,117.5714286,4,0
20180624,0.002032631,0.001621052,0.940642679,170.7142857,1,0
20180625,0.001339734,0.000825935,0.842548972,278.4285714,1,0
20180626,0.003201353,0.001261202,0.921136087,257.1428571,0,1
