contact_1,contact_2,open_1,open_2
21.14,64.09,39.65,16.04
21.01,67.41,49.19,16.04
21.4,63.69,64.33,16.18
21.4,64.87,83.14,16.29
21.79,63.3,84.73,16.29
21.53,64.61,85.39,16.42
21.4,64.09,85.52,16.43
21.54,64.35,88.57,16.54
21.54,64.22,85.91,16.54
21.41,63.56,86.38,16.68
21.27,64.04,86.97,16.68
21.67,63.56,87.04,16.8
21.41,64.22,87.77,16.68
21.4,60.12,87.77,16.93
21.41,63.56,87.84,16.8
21.67,63.12,87.97,16.68
21.41,63.52,87.77,16.8
21.56,63.52,87.9,16.8
21.69,62.6,87.84,16.68
0.38,63.04,87.43,16.68
0.51,63.38,87.43,16.68
0.38,62.34,87.37,16.55
0.25,63.78,87.16,16.8
0.38,63.65,0,16.69
0.38,63.17,0,16.55
0.38,63.52,0,16.55
0.38,63.83,0,16.68
0.51,63.17,0,16.43
0.38,62.73,0,16.68
0.38,63.96,0,16.55
0.25,63.25,0,16.55
0.38,63.96,0,16.68
0.38,62.91,0,16.8
0.25,62.99,0,16.69
0.25,63.43,0,16.93
0.38,67.41,0,16.93
0.51,63.12,0,16.94
0.38,63.69,0,17.05
0.38,63.91,0,17.07
0.25,64.35,0,17.19
0.38,63.78,0,17.07
0.38,64.09,0,17.07
0.38,63.17,0,17.19
0.51,63.61,0,17.19
0.51,64.17,0,17.19
0.51,63.43,0,17.31
0.25,64.61,0,17.31
0.38,63.43,0,17.44
0.38,63.56,0,17.44
0.38,63.04,0,17.44
0.51,63.38,0,17.31
0.38,63.96,0,17.31
0.38,64.22,0,17.31
0.51,64.3,0,17.31
0.51,64.09,0,17.31
0.38,63.56,0,17.31
0.38,62.86,0,17.31
0.38,62.78,0,17.2
0.51,63.78,0,17.19
0.51,63.56,0,17.19
0.51,60.77,0,17.19
0.38,62.78,0,17.33
0.38,63.43,0,17.19
0.38,63.83,0,17.19
0.38,63.17,0,17.33
0.51,63.78,0,17.45
0.38,60.9,0,17.44
0.38,63.65,0,17.45
0.38,63.52,0,17.33
0.25,62.91,0,17.31
0.51,63.56,0,17.33
0.25,63.38,0,17.33
0.38,63.3,0,17.2
0.38,63.12,0,17.31
0.51,62.91,0,17.33
0.38,63.56,0,17.33
0.25,63.17,0,17.33
0.38,64.22,0,17.33
0.51,63.43,0,17.45
20.41,64.61,0,17.33
20.67,64.56,0,17.45
20.68,64.48,0,17.33
20.54,64.17,0,17.33
20.55,63.96,1.41,17.33
20.55,63.12,3.85,17.33
20.55,63.83,7.85,17.2
20.55,62.7,32.16,17.33
20.57,64.09,88.57,17.33
20.96,62.86,74.58,17.33
21.22,62.6,64.48,17.33
21.22,63.83,56.98,17.33
21.35,63.56,50.69,17.33
21.49,61.16,45.78,17.2
21.22,62.13,41.53,17.33
21.35,63.38,38.07,17.2
21.09,65.92,35.18,17.2
21.1,63.69,32.65,17.33
21.38,62.91,30.44,17.08
21.23,63.65,28.57,17.2
21.09,62.78,26.86,17.2
21.51,63.52,25.44,17.08
21.1,62.6,24.14,17.08
20.97,62.86,22.95,17.2
20.97,63.65,21.9,17.07
20.99,62.73,20.99,17.2
20.99,63.91,20.21,17.08
21.51,63.3,19.42,17.08
21.12,60.16,18.51,17.22
20.99,62.86,17.85,17.2
21.25,63.3,17.22,17.08
21.12,63.69,16.69,17.08
20.99,63.83,16.56,17.2
21.12,63.25,17.87,17.2
20.99,63.43,19.29,17.2
21.01,63.96,20.99,17.33
21.12,63.78,22.95,17.2
21.14,63.96,25.57,17.34
21.27,63.3,28.57,17.2
21.27,63.17,32.55,17.34
21.27,63.17,37.68,17.22
21.14,69.5,45.02,17.33
21.4,63.96,55.4,17.2
21.53,63.17,72.04,17.22
21.4,62.86,90.11,17.2
21.66,63.3,90.51,17.2
21.27,62.73,90.04,17.34
21.79,60.9,90.64,17.34
21.79,63.91,90.58,17.34
21.94,63.83,90.51,17.34
21.67,64.09,90.98,17.34
21.81,63.43,90.71,17.34
21.41,62.91,91.05,17.47
21.54,59.68,90.98,17.47
21.54,64.09,91.12,17.47
21.67,63.52,91.18,17.47
21.94,62.73,90.85,17.47
21.81,63.17,91.12,17.47
21.69,63.04,90.98,17.34
21.81,64.09,91.05,17.36
0.51,63.78,91.12,17.47
0.38,63.78,90.98,17.47
